sale_id,ts,customer_id,product_no,product_name,product_type,qty,unit_price,total_line
54e8c626-dc32-4251-b63d-e1f2f1172c76,2025-06-27T12:44:09.910037+00:00,VIP-01,19,AMP FANNY AV-168A,AMP,1,2900.0,2900.0
4ba049e9-9300-4b2e-934b-a37f76a7511a,2025-06-27T17:30:02.724562+00:00,walkin-3,24,AMP SOUNDMILAN AV-302,AMP,3,3500.0,10500.0
ab5de8fd-7cbd-448c-9a3a-2e2850ceb836,2025-06-27T12:57:25.698232+00:00,walkin-2,18,AMP MBA MB7000 AV-191A,AMP,2,3500.0,7000.0
66836f06-5af3-4952-9476-5f3074fa74da,2025-06-27T19:42:38.631605+00:00,walkin-2,6,ไมค์ลอย npe,MICROPHONE,1,380.0,380.0
4ac89889-9563-49bd-b22c-0057ba757cc5,2025-06-27T21:34:21.610900+00:00,walkin-3,17,USB MP3 player ROADSTAR (RS101-MP3),USB MP3,3,950.0,2850.0
ad1e3e8c-01fa-4d04-9460-b57dccccb7fa,2025-06-27T12:30:05.853582+00:00,walkin-2,2,ไมค์ลอย mba 888a (U1),MICROPHONE,2,1900.0,3800.0
6f51ff6a-c08f-48ae-ab11-b5a57a427282,2025-06-27T14:06:49.903311+00:00,VIP-01,3,ไมค์ลอย sound milan ml-6675,MICROPHONE,1,1800.0,1800.0
168b7817-33ad-4ceb-8780-1b3627db8806,2025-06-27T11:50:25.440301+00:00,walkin-3,2,ไมค์ลอย mba 888a (U1),MICROPHONE,2,1900.0,3800.0
6ea78b90-74f7-4fd1-b840-a6a6d32c5f1e,2025-06-27T19:17:13.592701+00:00,walkin-3,14,USB MP3 player รถ DZ-599,USB MP3,1,600.0,600.0
503b78a8-8b6a-4ca2-aa78-031d7937a82a,2025-06-27T18:16:28.187469+00:00,walkin-2,14,USB MP3 player รถ DZ-599,USB MP3,2,600.0,1200.0
0b3bf81d-e645-4d82-92aa-7022304cac6e,2025-06-28T15:20:51.547787+00:00,VIP-01,15,USB MP3 player รถ KEVLAR K-2200B,USB MP3,3,850.0,2550.0
